series,date,sector,value
abs,2015-01-01,p0,1176941.0
abs,2015-01-01,p1,97539.0
abs,2015-01-01,p2,103059.0
abs,2015-01-01,p3,262379.0
abs,2015-01-01,p4,55382.0
abs,2015-01-01,p5,643883.0
abs,2015-01-01,p6,14699.0
abs,2016-01-01,p0,1229312.0
abs,2016-01-01,p1,93977.0
abs,2016-01-01,p2,105368.0
abs,2016-01-01,p3,273899.0
abs,2016-01-01,p4,59508.0
abs,2016-01-01,p5,680561.0
abs,2016-01-01,p6,16000.0
abs,2017-01-01,p0,1300769.0
abs,2017-01-01,p1,99509.0
abs,2017-01-01,p2,105838.0
abs,2017-01-01,p3,290464.0
abs,2017-01-01,p4,63522.0
abs,2017-01-01,p5,723361.0
abs,2017-01-01,p6,18076.0
abs,2018-01-01,p0,1363766.0
abs,2018-01-01,p1,99637.0
abs,2018-01-01,p2,103557.0
abs,2018-01-01,p3,304843.0
abs,2018-01-01,p4,66194.0
abs,2018-01-01,p5,772990.0
abs,2018-01-01,p6,16546.0
abs,2019-01-01,p0,1423952.0
abs,2019-01-01,p1,101573.0
abs,2019-01-01,p2,102887.0
abs,2019-01-01,p3,316283.0
abs,2019-01-01,p4,66453.0
abs,2019-01-01,p5,820576.0
abs,2019-01-01,p6,16179.0
abs,2020-01-01,p0,1346249.0
abs,2020-01-01,p1,99109.0
abs,2020-01-01,p2,92879.0
abs,2020-01-01,p3,307606.0
abs,2020-01-01,p4,53616.0
abs,2020-01-01,p5,777693.0
abs,2020-01-01,p6,15346.0
abs,2021-01-01,p0,1390882.0
abs,2021-01-01,p1,98843.0
abs,2021-01-01,p2,93717.0
abs,2021-01-01,p3,336724.0
abs,2021-01-01,p4,50839.0
abs,2021-01-01,p5,795116.0
abs,2021-01-01,p6,15642.0
abs,2022-01-01,p0,1514139.0
abs,2022-01-01,p1,100082.0
abs,2022-01-01,p2,97001.0
abs,2022-01-01,p3,364124.0
abs,2022-01-01,p4,53426.0
abs,2022-01-01,p5,882723.0
abs,2022-01-01,p6,16784.0
abs,2023-01-01,p0,1567974.0
abs,2023-01-01,p1,100812.0
abs,2023-01-01,p2,97513.0
abs,2023-01-01,p3,366694.0
abs,2023-01-01,p4,56659.0
abs,2023-01-01,p5,927904.0
abs,2023-01-01,p6,18392.0
growth_yoy,2016-01-01,p0,4.45
growth_yoy,2016-01-01,p1,-3.652
growth_yoy,2016-01-01,p2,2.24
growth_yoy,2016-01-01,p3,4.391
growth_yoy,2016-01-01,p4,7.45
growth_yoy,2016-01-01,p5,5.696
growth_yoy,2016-01-01,p6,8.851
growth_yoy,2017-01-01,p0,5.813
growth_yoy,2017-01-01,p1,5.887
growth_yoy,2017-01-01,p2,0.446
growth_yoy,2017-01-01,p3,6.048
growth_yoy,2017-01-01,p4,6.745
growth_yoy,2017-01-01,p5,6.289
growth_yoy,2017-01-01,p6,12.975
growth_yoy,2018-01-01,p0,4.843
growth_yoy,2018-01-01,p1,0.129
growth_yoy,2018-01-01,p2,-2.155
growth_yoy,2018-01-01,p3,4.95
growth_yoy,2018-01-01,p4,4.206
growth_yoy,2018-01-01,p5,6.861
growth_yoy,2018-01-01,p6,-8.464
growth_yoy,2019-01-01,p0,4.413
growth_yoy,2019-01-01,p1,1.943
growth_yoy,2019-01-01,p2,-0.647
growth_yoy,2019-01-01,p3,3.753
growth_yoy,2019-01-01,p4,0.391
growth_yoy,2019-01-01,p5,6.156
growth_yoy,2019-01-01,p6,-2.218
growth_yoy,2020-01-01,p0,-5.457
growth_yoy,2020-01-01,p1,-2.426
growth_yoy,2020-01-01,p2,-9.727
growth_yoy,2020-01-01,p3,-2.743
growth_yoy,2020-01-01,p4,-19.317
growth_yoy,2020-01-01,p5,-5.226
growth_yoy,2020-01-01,p6,-5.149
growth_yoy,2021-01-01,p0,3.315
growth_yoy,2021-01-01,p1,-0.268
growth_yoy,2021-01-01,p2,0.902
growth_yoy,2021-01-01,p3,9.466
growth_yoy,2021-01-01,p4,-5.179
growth_yoy,2021-01-01,p5,2.24
growth_yoy,2021-01-01,p6,1.929
growth_yoy,2022-01-01,p0,8.862
growth_yoy,2022-01-01,p1,1.254
growth_yoy,2022-01-01,p2,3.504
growth_yoy,2022-01-01,p3,8.137
growth_yoy,2022-01-01,p4,5.089
growth_yoy,2022-01-01,p5,11.018
growth_yoy,2022-01-01,p6,7.301
growth_yoy,2023-01-01,p0,3.555
growth_yoy,2023-01-01,p1,0.729
growth_yoy,2023-01-01,p2,0.528
growth_yoy,2023-01-01,p3,0.706
growth_yoy,2023-01-01,p4,6.051
growth_yoy,2023-01-01,p5,5.118
growth_yoy,2023-01-01,p6,9.581
