State Name,YEAR,Annual Flood Count
Johor,2000,0
Johor,2001,2
Johor,2002,4
Johor,2003,4
Johor,2004,5
Johor,2005,3
Johor,2006,5
Johor,2007,3
Johor,2008,4
Johor,2009,2
Johor,2010,4
Kedah,2000,0
Kedah,2001,0
Kedah,2002,3
Kedah,2003,5
Kedah,2004,0
Kedah,2005,3
Kedah,2006,2
Kedah,2007,5
Kedah,2008,4
Kedah,2009,4
Kedah,2010,3
Kelantan,2000,0
Kelantan,2001,4
Kelantan,2002,4
Kelantan,2003,4
Kelantan,2004,4
Kelantan,2005,5
Kelantan,2006,5
Kelantan,2007,5
Kelantan,2008,4
Kelantan,2009,6
Kelantan,2010,5
Negeri Sembilan,2000,0
Negeri Sembilan,2001,5
Negeri Sembilan,2002,5
Negeri Sembilan,2003,6
Negeri Sembilan,2004,6
Negeri Sembilan,2005,4
Negeri Sembilan,2006,0
Negeri Sembilan,2007,5
Negeri Sembilan,2008,4
Negeri Sembilan,2009,5
Negeri Sembilan,2010,5
Pahang,2000,0
Pahang,2001,3
Pahang,2002,1
Pahang,2003,2
Pahang,2004,1
Pahang,2005,1
Pahang,2006,6
Pahang,2007,6
Pahang,2008,0
Pahang,2009,1
Pahang,2010,2
Perak,2000,0
Perak,2001,1
Perak,2002,1
Perak,2003,0
Perak,2004,1
Perak,2005,1
Perak,2006,1
Perak,2007,2
Perak,2008,1
Perak,2009,1
Perak,2010,1
Perlis,2000,0
Perlis,2001,3
Perlis,2002,2
Perlis,2003,0
Perlis,2004,2
Perlis,2005,1
Perlis,2006,2
Perlis,2007,2
Perlis,2008,2
Perlis,2009,2
Perlis,2010,1
Pulau Pinang,2000,0
Pulau Pinang,2001,2
Pulau Pinang,2002,3
Pulau Pinang,2003,2
Pulau Pinang,2004,2
Pulau Pinang,2005,2
Pulau Pinang,2006,3
Pulau Pinang,2007,2
Pulau Pinang,2008,2
Pulau Pinang,2009,3
Pulau Pinang,2010,0
Sabah,2000,0
Sabah,2001,6
Sabah,2002,4
Sabah,2003,2
Sabah,2004,1
Sabah,2005,1
Sabah,2006,2
Sabah,2007,6
Sabah,2008,10
Sabah,2009,11
Sabah,2010,1
Sarawak,2000,0
Sarawak,2001,5
Sarawak,2002,1
Sarawak,2003,7
Sarawak,2004,0
Sarawak,2005,0
Sarawak,2006,0
Sarawak,2007,0
Sarawak,2008,3
Sarawak,2009,5
Sarawak,2010,4
Terengganu,2000,0
Terengganu,2001,4
Terengganu,2002,4
Terengganu,2003,5
Terengganu,2004,4
Terengganu,2005,2
Terengganu,2006,9
Terengganu,2007,5
Terengganu,2008,3
Terengganu,2009,6
Terengganu,2010,9
