State Name,YEAR,Annual_Flood_Count,Average_Annual_Rainfall,Annual_Density_mm_per_km2
Johor,2000,0,2514.458333333333,0.13089319798715945
Johor,2001,2,2135.3683333333333,0.11115920527503037
Johor,2002,4,1915.871666666667,0.09973303834808261
Johor,2003,4,2499.898333333333,0.1301352594134999
Johor,2004,5,2010.0583333333327,0.10463604025681066
Johor,2005,3,2226.5383333333334,0.1159051709179247
Johor,2006,5,2242.8833333333337,0.11675602984556656
Johor,2007,3,2146.3833333333337,0.1117326045462433
Johor,2008,4,2707.5883333333336,0.1409468158944994
Johor,2009,2,2723.6383333333333,0.14178231823702933
Johor,2010,4,2230.403333333333,0.1161063682110012
Kedah,2000,0,2611.342,0.2748781052631579
Kedah,2001,0,2204.882,0.23209284210526315
Kedah,2002,3,1758.4,0.18509473684210528
Kedah,2003,5,2378.54,0.25037263157894735
Kedah,2004,0,1843.844,0.19408884210526317
Kedah,2005,3,2194.642,0.23101494736842104
Kedah,2006,2,1981.22,0.20854947368421053
Kedah,2007,5,2215.246,0.23318378947368423
Kedah,2008,4,2403.698,0.25302084210526316
Kedah,2009,4,2399.34,0.2525621052631579
Kedah,2010,3,2294.944,0.24157305263157894
Kelantan,2000,0,2615.252857142857,0.17320702411701816
Kelantan,2001,4,2447.035714285714,0.16206607816979365
Kelantan,2002,4,2323.281428571429,0.1538698873151486
Kelantan,2003,4,2559.304285714286,0.16950157531719226
Kelantan,2004,4,2349.0714285714284,0.15557794745158146
Kelantan,2005,5,2220.3728571428574,0.14705429877096876
Kelantan,2006,5,2815.464285714286,0.1864669372616919
Kelantan,2007,5,2507.7371428571428,0.1660863065671331
Kelantan,2008,4,2840.804285714286,0.1881451940998931
Kelantan,2009,6,2619.8557142857144,0.17351186928178783
Kelantan,2010,5,2545.9,0.1686138154844692
Negeri Sembilan,2000,0,2542.106666666667,0.3802133811945359
Negeri Sembilan,2001,5,2577.885,0.3855646126233922
Negeri Sembilan,2002,5,2046.1816666666664,0.30603973476916935
Negeri Sembilan,2003,6,2638.3166666666666,0.39460315086249875
Negeri Sembilan,2004,6,2292.023333333333,0.34280935287665765
Negeri Sembilan,2005,4,2266.951666666667,0.33905947751520593
Negeri Sembilan,2006,0,2448.233333333333,0.36617309801575426
Negeri Sembilan,2007,5,2634.5483333333336,0.3940395353474923
Negeri Sembilan,2008,4,2746.99,0.41085701465749325
Negeri Sembilan,2009,5,2835.508333333333,0.4240963705254761
Negeri Sembilan,2010,5,2259.4066666666668,0.33793100009971083
Pahang,2000,0,2464.688333333333,0.06820401066312458
Pahang,2001,3,2713.8250000000003,0.0750982372637463
Pahang,2002,1,2173.9733333333334,0.06015920893636255
Pahang,2003,2,2394.0416666666665,0.06624904299379214
Pahang,2004,1,2298.8266666666664,0.06361420889024176
Pahang,2005,1,2224.3283333333334,0.06155265609578364
Pahang,2006,6,2699.4416666666666,0.07470021492283993
Pahang,2007,6,2703.085,0.07480103495032792
Pahang,2008,0,2538.471666666667,0.07024577764249015
Pahang,2009,1,2281.815,0.06314345407753826
Pahang,2010,2,2348.0583333333334,0.06497657064320042
Perak,2000,0,2502.75,0.11898027097694319
Perak,2001,1,2525.425,0.12005823627287854
Perak,2002,1,2405.885,0.11437532683622535
Perak,2003,0,2435.95,0.11580461136201568
Perak,2004,1,2260.815,0.10747872593296887
Perak,2005,1,2176.495,0.10347016876634181
Perak,2006,1,2750.2250000000004,0.1307451865937723
Perak,2007,2,2503.73,0.11902685999524602
Perak,2008,1,2693.94,0.1280694081293083
Perak,2009,1,2416.285,0.11486974090801046
Perak,2010,1,2517.81,0.11969622058473972
Perlis,2000,0,2425.44,2.9542509135200974
Perlis,2001,3,2519.13,3.0683678440925704
Perlis,2002,2,2353.94,2.8671619975639464
Perlis,2003,0,2352.63,2.8655663824604143
Perlis,2004,2,2159.92,2.630840438489647
Perlis,2005,1,2161.37,2.6326065773447014
Perlis,2006,2,2593.9,3.159439707673569
Perlis,2007,2,2454.1,2.9891595615103532
Perlis,2008,2,2555.96,3.1132277710109624
Perlis,2009,2,2313.27,2.8176248477466506
Perlis,2010,1,2411.96,2.937831912302071
Pulau Pinang,2000,0,3045.185,2.9057108778625955
Pulau Pinang,2001,2,2282.6,2.1780534351145038
Pulau Pinang,2002,3,1956.5175,1.8669060114503817
Pulau Pinang,2003,2,2331.5575,2.224768606870229
Pulau Pinang,2004,2,1913.765,1.826111641221374
Pulau Pinang,2005,2,2343.625,2.2362833969465647
Pulau Pinang,2006,3,2066.855,1.9721898854961832
Pulau Pinang,2007,2,2080.76,1.9854580152671757
Pulau Pinang,2008,2,2923.0975,2.789215171755725
Pulau Pinang,2009,3,2599.0925,2.4800500954198474
Pulau Pinang,2010,0,2464.2025000000003,2.351338263358779
Sabah,2000,0,3236.4433333333336,0.0439549012417777
Sabah,2001,6,3123.1673333333333,0.04241647313405133
Sabah,2002,4,3008.1053333333334,0.040853788938535855
Sabah,2003,2,3468.311333333333,0.047103955308678856
Sabah,2004,1,3227.180666666666,0.0438291027782682
Sabah,2005,1,2950.956,0.040077630345914085
Sabah,2006,2,3101.113333333333,0.04211695255168792
Sabah,2007,6,3663.448,0.049754152462957175
