State Name,YEAR,crop_type,Total_Production
Johor,2017,coconut,107731.0
Johor,2017,fruits,603693.0
Johor,2017,industrial_crops,117769.7
Johor,2017,paddy,8563.0
Johor,2017,vegetables,203846.0
Johor,2018,coconut,95495.7
Johor,2018,fruits,567300.8
Johor,2018,industrial_crops,98700.0
Johor,2018,paddy,9424.0
Johor,2018,vegetables,198459.8
Johor,2019,coconut,99375.1
Johor,2019,fruits,543387.3
Johor,2019,industrial_crops,102455.0
Johor,2019,paddy,7704.0
Johor,2019,vegetables,203996.5
Johor,2020,coconut,106723.2
Johor,2020,fruits,557842.7
Johor,2020,industrial_crops,110575.5
Johor,2020,paddy,7502.0
Johor,2020,vegetables,208260.3
Johor,2021,coconut,118278.2
Johor,2021,fruits,631711.1
Johor,2021,industrial_crops,123560.5
Johor,2021,paddy,9031.0
Johor,2021,vegetables,242213.7
Johor,2022,coconut,124062.2
Johor,2022,fruits,772317.4
Johor,2022,industrial_crops,128173.1
Johor,2022,paddy,10832.0
Johor,2022,vegetables,245330.4
Kedah,2017,coconut,5754.5
Kedah,2017,fruits,49420.8
Kedah,2017,industrial_crops,8081.6
Kedah,2017,paddy,939308.0
Kedah,2017,vegetables,17111.7
Kedah,2018,coconut,6558.9
Kedah,2018,fruits,69874.0
Kedah,2018,industrial_crops,8929.7
Kedah,2018,paddy,955662.0
Kedah,2018,vegetables,14115.0
Kedah,2019,coconut,5131.3
Kedah,2019,fruits,71440.5
Kedah,2019,industrial_crops,8448.9
Kedah,2019,paddy,859018.0
Kedah,2019,vegetables,16823.1
Kedah,2020,coconut,10046.3
Kedah,2020,fruits,61839.5
Kedah,2020,industrial_crops,12265.2
Kedah,2020,paddy,914200.0
Kedah,2020,vegetables,12790.5
Kedah,2021,coconut,10185.3
Kedah,2021,fruits,73092.9
Kedah,2021,industrial_crops,12885.6
Kedah,2021,paddy,906692.0
Kedah,2021,vegetables,12909.6
Kedah,2022,coconut,31787.5
Kedah,2022,fruits,96009.6
Kedah,2022,industrial_crops,35503.6
Kedah,2022,paddy,834901.0
Kedah,2022,vegetables,15812.1
Kelantan,2017,coconut,60008.6
Kelantan,2017,fruits,88107.3
