State Name,YEAR,Annual_Flood_Count,Average_Annual_Rainfall
Johor,2000,0,2514.4583333333335
Johor,2001,2,2135.3683333333333
Johor,2002,4,1915.8716666666667
Johor,2003,4,2499.898333333333
Johor,2004,5,2010.0583333333332
Johor,2005,3,2226.5383333333334
Johor,2006,5,2242.8833333333337
Johor,2007,3,2146.3833333333337
Johor,2008,4,2707.5883333333336
Johor,2009,2,2723.6383333333333
Johor,2010,4,2230.403333333333
Kedah,2000,0,2611.3419999999996
Kedah,2001,0,2204.882
Kedah,2002,3,1758.4
Kedah,2003,5,2378.54
Kedah,2004,0,1843.8439999999998
Kedah,2005,3,2194.642
Kedah,2006,2,1981.22
Kedah,2007,5,2215.246
Kedah,2008,4,2403.698
Kedah,2009,4,2399.34
Kedah,2010,3,2294.944
Kelantan,2000,0,2615.252857142857
Kelantan,2001,4,2447.035714285714
Kelantan,2002,4,2323.281428571429
Kelantan,2003,4,2559.304285714286
Kelantan,2004,4,2349.0714285714284
Kelantan,2005,5,2220.3728571428574
Kelantan,2006,5,2815.464285714286
Kelantan,2007,5,2507.7371428571428
Kelantan,2008,4,2840.804285714286
Kelantan,2009,6,2619.8557142857144
Kelantan,2010,5,2545.9
Negeri Sembilan,2000,0,2542.106666666667
Negeri Sembilan,2001,5,2577.8849999999998
Negeri Sembilan,2002,5,2046.1816666666666
Negeri Sembilan,2003,6,2638.3166666666666
Negeri Sembilan,2004,6,2292.023333333333
Negeri Sembilan,2005,4,2266.951666666667
Negeri Sembilan,2006,0,2448.233333333333
Negeri Sembilan,2007,5,2634.5483333333336
Negeri Sembilan,2008,4,2746.99
Negeri Sembilan,2009,5,2835.508333333333
Negeri Sembilan,2010,5,2259.4066666666668
Pahang,2000,0,2464.688333333333
Pahang,2001,3,2713.8250000000003
Pahang,2002,1,2173.9733333333334
Pahang,2003,2,2394.0416666666665
Pahang,2004,1,2298.8266666666664
Pahang,2005,1,2224.3283333333334
Pahang,2006,6,2699.4416666666666
Pahang,2007,6,2703.085
Pahang,2008,0,2538.471666666667
Pahang,2009,1,2281.815
Pahang,2010,2,2348.0583333333334
Perak,2000,0,2502.75
Perak,2001,1,2525.425
Perak,2002,1,2405.885
Perak,2003,0,2435.95
Perak,2004,1,2260.815
Perak,2005,1,2176.495
Perak,2006,1,2750.2250000000004
Perak,2007,2,2503.73
Perak,2008,1,2693.94
Perak,2009,1,2416.285
Perak,2010,1,2517.81
Perlis,2000,0,2425.44
Perlis,2001,3,2519.13
Perlis,2002,2,2353.94
Perlis,2003,0,2352.63
Perlis,2004,2,2159.92
Perlis,2005,1,2161.37
Perlis,2006,2,2593.9
Perlis,2007,2,2454.1
Perlis,2008,2,2555.96
Perlis,2009,2,2313.27
Perlis,2010,1,2411.96
Pulau Pinang,2000,0,3045.185
Pulau Pinang,2001,2,2282.6
Pulau Pinang,2002,3,1956.5175
Pulau Pinang,2003,2,2331.5575
Pulau Pinang,2004,2,1913.765
Pulau Pinang,2005,2,2343.625
Pulau Pinang,2006,3,2066.855
Pulau Pinang,2007,2,2080.76
Pulau Pinang,2008,2,2923.0975
Pulau Pinang,2009,3,2599.0924999999997
Pulau Pinang,2010,0,2464.2025000000003
Sabah,2000,0,3236.4433333333336
Sabah,2001,6,3123.1673333333333
Sabah,2002,4,3008.1053333333334
Sabah,2003,2,3468.311333333333
Sabah,2004,1,3227.1806666666666
Sabah,2005,1,2950.9559999999997
Sabah,2006,2,3101.1133333333332
Sabah,2007,6,3663.448
Sabah,2008,10,3976.8433333333332
Sabah,2009,11,3586.4033333333336
Sabah,2010,1,3665.646
Sarawak,2000,0,3103.5157142857142
Sarawak,2001,5,2771.202857142857
Sarawak,2002,1,2325.0457142857144
Sarawak,2003,7,2925.52
Sarawak,2004,0,2669.8228571428576
Sarawak,2005,0,2657.6485714285714
Sarawak,2006,0,2668.4114285714286
Sarawak,2007,0,2647.1585714285716
Sarawak,2008,3,3319.7214285714285
Sarawak,2009,5,3263.7514285714283
Sarawak,2010,4,2601.457142857143
Terengganu,2000,0,2939.572142857143
Terengganu,2001,4,3007.6142857142854
Terengganu,2002,4,2060.4728571428573
Terengganu,2003,5,2509.8585714285714
Terengganu,2004,4,2095.5542857142855
Terengganu,2005,2,3071.996428571428
Terengganu,2006,9,3590.7757142857145
Terengganu,2007,5,2793.7228571428573
Terengganu,2008,3,3117.365714285714
Terengganu,2009,6,2829.0042857142857
Terengganu,2010,9,2764.3214285714284
