YEAR,product,Total_Production
2000,blockboard,137752
2000,logs,23073912
2000,moulding,715203
2000,plywood,4434182
2000,sawn_timber,5615960
2000,veneer,1116612
2001,blockboard,148276
2001,logs,18922547
2001,moulding,1681214
2001,plywood,4317193
2001,sawn_timber,4696067
2001,veneer,649009
2002,blockboard,125930
2002,logs,20649671
2002,moulding,450816
2002,plywood,4372303
2002,sawn_timber,4721322
2002,veneer,660400
2003,blockboard,116847
2003,logs,21531856
2003,moulding,441421
2003,plywood,4770859
2003,sawn_timber,4769851
2003,veneer,643455
2004,blockboard,149228
2004,logs,22039714
2004,moulding,537424
2004,plywood,4882937
2004,sawn_timber,4854307
2004,veneer,602690
2005,blockboard,131277
2005,logs,22398330
2005,moulding,624844
2005,plywood,5114685
2005,sawn_timber,5257195
2005,veneer,636108
2006,blockboard,125444
2006,logs,21893695
2006,moulding,400450
2006,plywood,5432158
2006,sawn_timber,5129284
2006,veneer,611558
2007,blockboard,114657
2007,logs,22052775
2007,moulding,455138
2007,plywood,5438684
2007,sawn_timber,5064015
2007,veneer,732446
2008,blockboard,98287
2008,logs,20082668
2008,moulding,352778
2008,plywood,4837306
2008,sawn_timber,4465834
2008,veneer,1004262
2009,blockboard,72142
2009,logs,18309807
2009,moulding,301786
2009,plywood,4155312
2009,sawn_timber,3888305
2009,veneer,845672
2010,blockboard,69849
2010,logs,17797313
2010,moulding,342719
2010,plywood,4279783
2010,sawn_timber,4301467
2010,veneer,796909
2011,blockboard,66839
2011,logs,15994871
2011,moulding,367327
2011,plywood,3947384
2011,sawn_timber,3994762
2011,veneer,886580
2012,blockboard,61222
2012,logs,15891901
2012,moulding,352212
2012,plywood,3869769
2012,sawn_timber,4176599
2012,veneer,808903
2013,logs,14396675
2013,moulding,163068
2013,plywood,3391133
2013,sawn_timber,3619620
2013,veneer,776353
2014,logs,14659673
2014,moulding,161156
2014,plywood,3689202
2014,sawn_timber,3453508
2014,veneer,818274
2015,logs,14220714
2015,moulding,136404
2015,plywood,3420511
2015,sawn_timber,3501140
2015,veneer,689780
2016,logs,13947745
2016,moulding,121672
2016,plywood,2789834
2016,sawn_timber,3401969
2016,veneer,552439
2017,logs,10674264
2017,moulding,133583
2017,plywood,2631820
2017,sawn_timber,3262298
2017,veneer,574713
2018,logs,10272705
2018,moulding,126682
2018,plywood,2501940
2018,sawn_timber,3439792
2018,veneer,568261
2019,logs,9062482
2019,moulding,231412
2019,plywood,2149845
2019,sawn_timber,3371450
2019,veneer,472619
2020,logs,5320403
2020,moulding,187848
2020,plywood,1668319
2020,sawn_timber,2274047
2020,veneer,310366
2021,logs,5570255
2021,moulding,190456
2021,plywood,1562329
2021,sawn_timber,1936625
2021,veneer,258537
