YEAR,product,Total_Production
2001,Moulding,1681214
2001,Plywood,4317193
2001,Sawn timber,4696067
2001,Veneer,649009
2002,Moulding,450816
2002,Plywood,4372303
2002,Sawn timber,4721322
2002,Veneer,660400
2003,Moulding,441421
2003,Plywood,4770859
2003,Sawn timber,4769851
2003,Veneer,643455
2004,Moulding,537424
2004,Plywood,4882937
2004,Sawn timber,4854307
2004,Veneer,602690
2005,Moulding,624844
2005,Plywood,5114685
2005,Sawn timber,5257195
2005,Veneer,636108
2006,Moulding,400450
2006,Plywood,5432158
2006,Sawn timber,5129284
2006,Veneer,611558
2007,Moulding,455138
2007,Plywood,5438684
2007,Sawn timber,5064015
2007,Veneer,732446
2008,Moulding,352778
2008,Plywood,4837306
2008,Sawn timber,4465834
2008,Veneer,1004262
2009,Moulding,301786
2009,Plywood,4155312
2009,Sawn timber,3888305
2009,Veneer,845672
2010,Moulding,342719
2010,Plywood,4279783
2010,Sawn timber,4301467
2010,Veneer,796909
2011,Blockboard,66839
2011,Moulding,367327
2011,Plywood,3947384
2011,Sawn timber,3994762
2011,Veneer,886580
2012,Blockboard,61222
2012,Moulding,352212
2012,Plywood,3869769
2012,Sawn timber,4176599
2012,Veneer,808903
2013,Moulding,163068
2013,Plywood,3391133
2013,Sawn timber,3619620
2013,Veneer,776353
2014,Moulding,161156
2014,Plywood,3689202
2014,Sawn timber,3453508
2014,Veneer,818274
2015,Moulding,136404
2015,Plywood,3420511
2015,Sawn timber,3501140
2015,Veneer,689780
2016,Moulding,121672
2016,Plywood,2789834
2016,Sawn timber,3401969
2016,Veneer,552439
2017,Moulding,133583
2017,Plywood,2631820
2017,Sawn timber,3262298
2017,Veneer,574713
2018,Moulding,126682
2018,Plywood,2501940
2018,Sawn timber,3439792
2018,Veneer,568261
2019,Moulding,231412
2019,Plywood,2149845
2019,Sawn timber,3371450
2019,Veneer,472619
2020,Moulding,187848
2020,Plywood,1668319
2020,Sawn timber,2274047
2020,Veneer,310366
2021,Moulding,190456
2021,Plywood,1562329
2021,Sawn timber,1936625
2021,Veneer,258537
