date,state,product,production
2000-01-01,Malaysia,blockboard,137752
2001-01-01,Malaysia,blockboard,148276
2002-01-01,Malaysia,blockboard,125930
2003-01-01,Malaysia,blockboard,116847
2004-01-01,Malaysia,blockboard,149228
2005-01-01,Malaysia,blockboard,131277
2006-01-01,Malaysia,blockboard,125444
2007-01-01,Malaysia,blockboard,114657
2008-01-01,Malaysia,blockboard,98287
2009-01-01,Malaysia,blockboard,72142
2010-01-01,Malaysia,blockboard,69849
2011-01-01,Malaysia,blockboard,66839
2012-01-01,Malaysia,blockboard,61222
2000-01-01,Malaysia,logs,23073912
2001-01-01,Malaysia,logs,18922547
2002-01-01,Malaysia,logs,20649671
2003-01-01,Malaysia,logs,21531856
2004-01-01,Malaysia,logs,22039714
2005-01-01,Malaysia,logs,22398330
2006-01-01,Malaysia,logs,21893695
2007-01-01,Malaysia,logs,22052775
2008-01-01,Malaysia,logs,20082668
2009-01-01,Malaysia,logs,18309807
2010-01-01,Malaysia,logs,17797313
2011-01-01,Malaysia,logs,15994871
2012-01-01,Malaysia,logs,15891901
2013-01-01,Malaysia,logs,14396675
2014-01-01,Malaysia,logs,14659673
2015-01-01,Malaysia,logs,14220714
2016-01-01,Malaysia,logs,13947745
2017-01-01,Malaysia,logs,10674264
2018-01-01,Malaysia,logs,10272705
2019-01-01,Malaysia,logs,9062482
2020-01-01,Malaysia,logs,5320403
2021-01-01,Malaysia,logs,5570255
2000-01-01,Malaysia,moulding,715203
2001-01-01,Malaysia,moulding,1681214
2002-01-01,Malaysia,moulding,450816
2003-01-01,Malaysia,moulding,441421
2004-01-01,Malaysia,moulding,537424
2005-01-01,Malaysia,moulding,624844
2006-01-01,Malaysia,moulding,400450
2007-01-01,Malaysia,moulding,455138
2008-01-01,Malaysia,moulding,352778
2009-01-01,Malaysia,moulding,301786
2010-01-01,Malaysia,moulding,342719
2011-01-01,Malaysia,moulding,367327
2012-01-01,Malaysia,moulding,352212
2013-01-01,Malaysia,moulding,163068
2014-01-01,Malaysia,moulding,161156
2015-01-01,Malaysia,moulding,136404
2016-01-01,Malaysia,moulding,121672
2017-01-01,Malaysia,moulding,133583
2018-01-01,Malaysia,moulding,126682
2019-01-01,Malaysia,moulding,231412
2020-01-01,Malaysia,moulding,187848
2021-01-01,Malaysia,moulding,190456
2000-01-01,Malaysia,plywood,4434182
2001-01-01,Malaysia,plywood,4317193
2002-01-01,Malaysia,plywood,4372303
2003-01-01,Malaysia,plywood,4770859
2004-01-01,Malaysia,plywood,4882937
2005-01-01,Malaysia,plywood,5114685
2006-01-01,Malaysia,plywood,5432158
2007-01-01,Malaysia,plywood,5438684
2008-01-01,Malaysia,plywood,4837306
2009-01-01,Malaysia,plywood,4155312
2010-01-01,Malaysia,plywood,4279783
2011-01-01,Malaysia,plywood,3947384
2012-01-01,Malaysia,plywood,3869769
2013-01-01,Malaysia,plywood,3391133
2014-01-01,Malaysia,plywood,3689202
2015-01-01,Malaysia,plywood,3420511
2016-01-01,Malaysia,plywood,2789834
2017-01-01,Malaysia,plywood,2631820
2018-01-01,Malaysia,plywood,2501940
2019-01-01,Malaysia,plywood,2149845
2020-01-01,Malaysia,plywood,1668319
2021-01-01,Malaysia,plywood,1562329
2000-01-01,Malaysia,sawn_timber,5615960
2001-01-01,Malaysia,sawn_timber,4696067
2002-01-01,Malaysia,sawn_timber,4721322
2003-01-01,Malaysia,sawn_timber,4769851
2004-01-01,Malaysia,sawn_timber,4854307
